ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CST_D_DCM_0002,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0003,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0004,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0005,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,,,Latium
CST_D_DCM_0006,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0007,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0008,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0009,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0010,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0011,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0012,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0013,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0014,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0015,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0016,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0017,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0018,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0019,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0020,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0021,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0022,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0023,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0024,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0025,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0026,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0027,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0028,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0029,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0030,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0031,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0032,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0033,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0034,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0035,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0036,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0037,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0038,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0039,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0040,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0041,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0042,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0043,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0044,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0045,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0046,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0047,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0048,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0049,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0050,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0051,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0052,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
